Frame,Pitch,Yaw,Roll,EAR,MAR
1,3.3172081131385758,-1.3549947006083471,-0.02908722486687155,0.19800554543168902,0.057692307692307696
2,4.3316778522127,1.3830427153801526,-0.02294303141532995,0.18373118716161307,0.09384875106191216
3,4.196362651263939,2.0086160768542154,-0.05249985707217199,0.11235760532929817,0.1309383692545355
4,2.466108835756202,2.963297762581209,-0.05994200243598856,0.13503497576586032,0.10099543782835943
5,2.5937931542558124,5.367770405352362,-0.08295150159859252,0.10010634906685593,0.14990633779917228
6,4.360146095700637,8.338625436454418,-0.1380159511125234,0.15654271121467989,0.2102353324910547
7,6.430224969302278,7.10884904809246,-0.1548409835263564,0.12329142769078072,0.18971615086447616
8,4.058118490318505,1.5521685535876943,-0.05552480658838278,0.07570148234338846,0.12033136751923737
9,6.924991133841543,1.6143829671977779,-0.05395258254729563,0.11056942602050213,0.07352146220938077
10,7.46677843847828,0.7467402049605788,-0.05502919205843351,0.25841441273840865,0.03167031776097682
11,6.995742374945408,0.698476125401325,-0.05120079915921522,0.24639365646559003,0.0
12,7.28147061373251,0.6126677544153596,-0.06157918404538632,0.2578980458079536,0.03398138330152924
13,6.428224631794735,0.7094283244172931,-0.06803809556531303,0.2366757883065619,0.07808688094430304
14,6.311980600879467,0.4291935605549184,-0.06108165656539175,0.1785048705687786,0.1067825292446354
15,5.472500700139283,0.46166005736346993,-0.06463158307518514,0.1763645799564167,0.10397504898200727
16,5.872886071582357,0.3268680833161703,-0.05550608816211732,0.16914556881157772,0.10070743681384511
17,6.173692869765692,0.540366772960733,-0.06461038556146287,0.18809445801182006,0.07352146220938077
18,6.2138181199866525,0.7149601661163044,-0.05991283913811796,0.18064273490919103,0.0450377349111045
19,6.184993862377087,0.9338545064773743,-0.06466884460715842,0.1814401186042775,0.032879797461071454
20,6.106260558610181,0.9860093183070395,-0.05200357075662598,0.17379590155291735,0.046726931351599776
21,5.872635974437104,1.0774223708134654,-0.052462956008322986,0.1814401186042775,0.032879797461071454
22,5.580329081124705,1.1637542685945077,-0.05994594233401084,0.20106693915419677,0.032879797461071454
23,6.11763025623218,1.1872876632860438,-0.059622006068565006,0.1801672530512889,0.04649905549752771
24,5.966966526510346,1.267119829288652,-0.05960774413651822,0.19211799753898678,0.04649905549752771
25,6.0432247736726925,1.2089700859806045,-0.057150503346006194,0.22063087191322567,0.04649905549752771
26,6.358384924657031,1.1896882082645406,-0.05993254562399691,0.21819351965809322,0.03304093002275449
27,6.25789859608374,1.1742048601199093,-0.06558486206638962,0.18291232380436598,0.046726931351599776
28,6.266734283693906,1.1841658343564714,-0.06299050080612827,0.19721404655947866,0.03304093002275449
29,6.420467453101575,1.0215724965619661,-0.061199085741356456,0.23173640103582469,0.046726931351599776
30,6.200831712149734,0.990032590595015,-0.057785035240904815,0.22126279365835935,0.03210806495339678
31,5.829707796192009,0.7764284857174528,-0.07005684278171453,0.22062547094673443,0.06633581268066595
32,5.903495525482135,1.1085440296774411,-0.07821775956690695,0.23173640103582469,0.1084652289093281
33,5.946545773027611,1.0425652399367697,-0.07608659825469048,0.20831944717613576,0.1048861292545921
34,5.58291061836682,1.4275655485804575,-0.07451590044213392,0.22126279365835935,0.1048861292545921
35,5.589885228464514,1.9499180386699215,-0.06321057785580454,0.22230926322896552,0.031113569564352756
36,5.5197818803299,2.232397923950262,-0.05321742012352238,0.22473883282582993,0.0
37,5.142298045966609,2.0708666359552246,-0.054445851651176484,0.22276553191509033,0.031008683647302117
38,5.039475249218956,1.9466964322820905,-0.06561582362696675,0.22473883282582993,0.031992834407549194
39,5.0468177773238505,1.9237094201080691,-0.06851268756434639,0.2091242154793788,0.031992834407549194
40,5.467659757134066,2.1561015650691364,-0.06175611958073152,0.21567312257267113,0.043852900965351466
41,5.594013658453819,1.8272827808306855,-0.0606649715954516,0.22934268868256258,0.04524470031791268
42,5.542638489695724,1.8679132201731337,-0.06306993683894516,0.22934268868256258,0.031992834407549194
43,5.503834367974908,1.9767424336014618,-0.05818987470063984,0.228111087450296,0.0
44,5.383761604540045,2.013315379963178,-0.05951178354875154,0.21446917859074083,0.031992834407549194
45,5.276825916173413,1.9377767657938447,-0.08057542783266142,0.22615667887014806,0.07669649888473705
